Participant ID,Date Filled Out,Cooking Frequency_Pre,Cooking Frequency_Pre Num,Cooking Frequency_Post,Cooking Frequency_Post Num,Cooking Frequency_Change,Cooking Frequency Behavior,Home Cooked_Pre,Home Cooked_Pre Num,Home Cooked_Post,Home Cooked_Post Num,Home Cooked Change,Herbs & Spices_Pre,Herbs & Spices_Pre Num,Herbs & Spices_Post,Herbs & Spices_Post Num,Herbs & Spices Change,Greens_Pre,Greens_Pre Num,Greens_Post,Greens_Post Num,Greens Change,Whole Grains_Pre,Whole Grains_Pre Num,Whole Grains_Post,Whole Grains_Post Num,Whole Grains Change,Beans_Pre,Beans_Pre Num,Beans_Post,Beans_Post Num,Beans Change,Tubers_Pre,Tubers_Pre Num,Tubers_Post,Tubers_Post Num,Tubers Change,Vegetables_Pre,Vegetables_Pre Num,Vegetables_Post,Vegetables_Post Num,Vegetables Change,Fruits_Pre,Fruits_Pre Num,Fruits_Post,Fruits_Post Num,Fruits Change,Vegetarian_Pre,Vegetarian_Pre Num,Vegetarian_Post,Vegetarian_Post Num,Vegetarian Change,Exercise_Pre,Exercise_Pre Num,Exercise_Post,Exercise_Post Num,Exercise Change,How would you describe African heritage foods to someone unfamiliar with them,Cook any recipes at home?/If didn't why? copy,"If you didnt get to cook in-class recipes at home, what were the reasons?",Which recipes did you enjoy most?,Is there anything you'd want to see changed?,"Has this program changed the way you eat at all? If so, how?",Are history/heritage positive motivators for living and eating well?,Other Comments:,SystolicBP_Pre,DiastolicBP_Pre,BP Category_Pre,BP Category_Pre Num,SystolicBP_Post,SystolicBP Change,DiastolicBP_Post,DiastolicBP Change,BP Category_Post,BP Category_Post Num,BP Category Change,Weight_Pre,Weight_Post,WeightChange,WaistCircumference_Pre,WaistCircumference_Post,WaistCircumference Change,"If you're not already cooking and eating healthy, what is the biggest obstacle getting in the way?","When you hear the phrase ""African Heritage Foods"" what comes to mind?",Age,"What surprised you most about the class, the recipes, or African Heritage foods?",Field 87,link,Fruit_Positive,Cooking_Plus
Test_HBP_Stage 2,,,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,,,,,119,74,Normal,0,140,🔻,79,🔻,Hypertension Stage 2,3,🔻,,,Missing Data,,,Missing Data,,,,,,,,
Test_HBP_Stage 2,,,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,,,,,119,95,Hypertension Stage 2,3,118,✅,90,✅,Hypertension Stage 2,3,Remained Same,,,Missing Data,,,Missing Data,,,,,,,,
Test_Hypertensive,,,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,,,,,119,74,Normal,0,181,🔻,79,🔻,Hypertensive Crisis,4,🔻,,,Missing Data,,,Missing Data,,,,,,,,
Test_Hypertensive,,,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,,,,,119,74,Normal,0,118,✅,121,🔻,Hypertensive Crisis,4,🔻,,,Missing Data,,,Missing Data,,,,,,,,
,,,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,,,,,,,Missing Data,,,Missing Data,,Missing Data,Missing Data,,Missing Data,,,Missing Data,,,Missing Data,,,,,,,,
,,,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,,,,,,,Missing Data,,,Missing Data,,Missing Data,Missing Data,,Missing Data,,,Missing Data,,,Missing Data,,,,,,,,
,,,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,,,,,,,Missing Data,,,Missing Data,,Missing Data,Missing Data,,Missing Data,,,Missing Data,,,Missing Data,,,,,,,,
,,,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,,,,,,,Missing Data,,,Missing Data,,Missing Data,Missing Data,,Missing Data,,,Missing Data,,,Missing Data,,,,,,,,
,,,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,,,,,120,50,Elevated,1,60,✅,180,🔻,Hypertensive Crisis,4,🔻,,,Missing Data,,,Missing Data,,,,,,,,
,,,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,Missing Data,,,,,,,,,,,Missing Data,,,Missing Data,,Missing Data,Missing Data,,Missing Data,,,Missing Data,,,Missing Data,,,,,,,,
